[3](1.69816e+06,122775,6.7704e+06)	[3](-5736.08,-4667.19,1521.95)
[3](1.6981e+06,122729,6.77041e+06)	[3](-5736.1,-4667.19,1521.87)
[3](1.69804e+06,122682,6.77043e+06)	[3](-5736.12,-4667.19,1521.79)
[3](1.69799e+06,122635,6.77044e+06)	[3](-5736.14,-4667.19,1521.71)
[3](1.69793e+06,122589,6.77046e+06)	[3](-5736.16,-4667.19,1521.63)
[3](1.69787e+06,122542,6.77047e+06)	[3](-5736.18,-4667.19,1521.55)
[3](1.69781e+06,122495,6.77049e+06)	[3](-5736.2,-4667.2,1521.47)
[3](1.69776e+06,122449,6.7705e+06)	[3](-5736.22,-4667.2,1521.39)
[3](1.6977e+06,122402,6.77052e+06)	[3](-5736.24,-4667.2,1521.31)
[3](1.69764e+06,122355,6.77053e+06)	[3](-5736.26,-4667.2,1521.23)
[3](1.69758e+06,122309,6.77055e+06)	[3](-5736.28,-4667.2,1521.15)
[3](1.69753e+06,122262,6.77056e+06)	[3](-5736.3,-4667.2,1521.08)
[3](1.69747e+06,122215,6.77058e+06)	[3](-5736.32,-4667.2,1521)
[3](1.69741e+06,122169,6.77059e+06)	[3](-5736.34,-4667.21,1520.92)
[3](1.69735e+06,122122,6.77061e+06)	[3](-5736.36,-4667.21,1520.84)
[3](1.6973e+06,122075,6.77063e+06)	[3](-5736.38,-4667.21,1520.76)
[3](1.69724e+06,122029,6.77064e+06)	[3](-5736.4,-4667.21,1520.68)
[3](1.69718e+06,121982,6.77066e+06)	[3](-5736.42,-4667.21,1520.6)
[3](1.69713e+06,121935,6.77067e+06)	[3](-5736.44,-4667.21,1520.52)
[3](1.69707e+06,121889,6.77069e+06)	[3](-5736.46,-4667.21,1520.44)
[3](1.69701e+06,121842,6.7707e+06)	[3](-5736.48,-4667.22,1520.36)
[3](1.69695e+06,121795,6.77072e+06)	[3](-5736.5,-4667.22,1520.28)
[3](1.6969e+06,121749,6.77073e+06)	[3](-5736.52,-4667.22,1520.2)
